action_id,admin_id,action,target_sql,created_at
1,59,reindex,reindex placeholder #1,2024-02-11 00:00:00
2,59,reindex,reindex placeholder #2,2026-01-07 00:00:00
3,59,vacuum,vacuum placeholder #3,2024-10-14 00:00:00
4,59,bulk_delete,bulk_delete placeholder #4,2025-09-23 00:00:00
5,59,vacuum,vacuum placeholder #5,2024-05-12 00:00:00
6,59,bulk_delete,bulk_delete placeholder #6,2024-10-08 00:00:00
7,59,update_category,update_category placeholder #7,2025-07-02 00:00:00
8,59,bulk_unpublish,bulk_unpublish placeholder #8,2025-10-17 00:00:00
9,60,vacuum,vacuum placeholder #9,2024-12-06 00:00:00
10,59,bulk_unpublish,bulk_unpublish placeholder #10,2023-11-09 00:00:00
11,60,vacuum,vacuum placeholder #11,2025-03-30 00:00:00
12,60,update_category,update_category placeholder #12,2024-12-03 00:00:00
13,60,update_category,update_category placeholder #13,2024-01-11 00:00:00
14,59,reindex,reindex placeholder #14,2024-12-14 00:00:00
15,59,bulk_unpublish,bulk_unpublish placeholder #15,2023-05-05 00:00:00
16,60,bulk_delete,bulk_delete placeholder #16,2023-12-11 00:00:00
17,59,bulk_delete,bulk_delete placeholder #17,2024-04-27 00:00:00
18,59,vacuum,vacuum placeholder #18,2024-11-18 00:00:00
19,59,bulk_delete,bulk_delete placeholder #19,2025-01-30 00:00:00
20,60,bulk_unpublish,bulk_unpublish placeholder #20,2023-08-31 00:00:00
21,59,update_category,update_category placeholder #21,2023-03-12 00:00:00
22,60,update_category,update_category placeholder #22,2025-07-16 00:00:00
23,59,reindex,reindex placeholder #23,2025-09-26 00:00:00
24,60,bulk_delete,bulk_delete placeholder #24,2025-11-29 00:00:00
25,60,bulk_delete,bulk_delete placeholder #25,2025-08-21 00:00:00
26,60,reindex,reindex placeholder #26,2023-03-08 00:00:00
27,59,bulk_delete,bulk_delete placeholder #27,2026-01-13 00:00:00
28,60,reindex,reindex placeholder #28,2024-04-04 00:00:00
29,60,reindex,reindex placeholder #29,2024-04-02 00:00:00
