article_id,tag_id
1,1
1,59
2,75
2,20
2,2
2,19
2,10
3,25
3,17
3,94
3,89
4,46
4,82
4,17
4,69
4,81
5,35
5,29
5,90
5,95
6,10
7,32
7,26
7,57
7,70
8,100
8,71
8,81
9,80
9,41
10,26
10,93
10,44
10,17
10,89
11,46
11,89
11,36
11,1
11,55
12,45
12,19
13,38
13,39
13,14
13,85
13,52
14,95
15,27
15,94
16,56
16,1
16,39
16,74
16,45
17,77
17,20
17,78
17,11
17,19
18,13
19,17
19,24
19,40
20,90
20,65
21,94
21,95
22,47
22,46
22,64
22,75
22,23
23,38
23,17
23,75
24,33
24,53
24,90
24,86
25,4
26,79
27,69
28,82
28,49
29,100
29,65
29,61
29,42
29,48
30,71
30,78
30,4
30,10
30,11
31,59
31,50
31,82
31,100
32,60
32,64
33,4
33,99
33,37
34,2
34,8
34,66
35,39
35,44
35,60
35,36
36,20
37,89
37,75
37,15
37,100
38,71
38,59
39,26
40,47
40,92
41,13
41,87
42,88
43,5
43,98
43,82
44,22
44,75
44,95
45,41
45,24
46,74
46,97
47,15
47,98
48,100
48,41
48,78
48,38
49,76
50,16
50,99
50,77
51,47
51,5
52,32
53,88
53,43
54,18
54,24
54,100
54,38
55,45
55,29
56,86
56,92
56,77
57,34
57,48
57,69
57,86
57,36
58,55
58,8
58,49
58,24
58,30
59,64
59,32
59,35
59,11
60,84
60,46
60,56
60,61
60,62
61,60
61,35
61,79
61,68
62,94
62,70
62,36
62,55
63,34
63,93
63,28
64,3
64,2
65,45
65,93
66,48
66,21
66,53
66,47
66,40
67,40
67,34
67,58
67,84
68,25
68,78
69,48
70,65
71,27
71,43
71,64
72,16
72,20
72,86
73,57
74,50
74,21
74,1
74,100
75,67
75,75
75,97
75,26
75,64
76,34
76,100
76,38
76,1
77,32
77,27
77,38
77,53
78,14
78,92
78,42
79,7
79,36
79,20
79,78
80,54
80,92
81,57
81,47
81,12
82,44
82,11
82,91
82,28
82,26
83,17
83,56
83,84
84,44
85,22
85,10
86,1
87,100
87,72
87,39
87,7
87,82
88,33
88,24
88,23
89,11
89,77
89,17
89,27
89,47
90,99
90,21
90,84
90,85
91,79
91,80
92,79
92,52
92,100
92,19
92,18
93,65
94,8
94,60
94,94
94,12
94,21
95,96
95,52
95,85
96,78
97,34
97,3
97,36
97,43
98,31
98,74
98,67
99,81
99,16
99,5
100,82
100,83
100,78
100,11
100,6
101,84
102,1
102,70
102,16
103,7
103,77
103,95
103,52
104,63
104,31
105,10
105,5
106,23
107,6
108,6
108,82
108,20
108,80
108,45
109,29
109,63
109,75
110,18
110,93
111,95
112,37
112,77
113,54
113,26
113,62
114,14
114,89
114,83
114,66
114,62
115,82
115,34
115,31
115,20
116,88
116,79
116,72
117,73
117,95
117,84
118,30
118,91
118,99
118,60
118,76
119,55
119,79
119,11
119,34
120,1
121,46
122,25
122,1
123,40
123,26
123,4
123,70
123,55
124,29
124,66
124,79
125,23
125,24
125,69
125,93
125,29
126,14
126,56
126,41
127,17
127,54
127,8
128,58
128,7
128,73
128,37
128,100
129,82
129,89
129,46
129,71
129,21
130,39
130,24
130,20
130,57
131,25
132,50
132,68
132,92
133,24
133,95
133,33
133,44
134,57
135,91
136,42
137,47
137,91
137,8
137,77
138,25
139,31
139,28
139,1
140,67
140,4
140,12
140,90
140,60
141,22
141,42
141,53
141,98
142,9
143,31
144,10
144,73
145,5
146,99
146,57
146,25
146,74
147,39
147,33
147,30
147,49
148,13
148,89
148,94
148,50
148,87
149,52
150,20
150,66
150,72
150,24
150,33
151,81
152,90
152,34
153,11
153,77
154,54
154,38
154,26
155,52
155,63
155,49
155,19
155,80
156,41
157,95
157,74
157,57
157,97
157,9
158,2
158,19
158,11
158,6
158,26
159,17
160,49
160,41
161,12
161,42
161,24
161,8
162,19
162,75
162,2
162,48
162,64
163,89
163,72
164,79
164,31
164,18
165,11
166,31
166,3
166,79
167,57
167,97
167,82
168,2
168,50
168,4
168,30
168,25
169,56
169,50
170,17
170,91
170,45
170,97
171,94
171,97
171,90
171,12
172,53
172,85
173,82
173,68
174,51
174,76
175,8
175,65
175,67
175,98
176,28
176,29
177,82
177,54
178,49
179,24
179,68
179,82
179,26
179,22
180,75
180,17
181,31
181,10
181,14
181,20
182,53
182,21
183,98
183,38
183,28
183,92
183,86
184,97
184,77
185,26
185,63
185,19
185,30
185,4
186,60
186,53
186,84
186,11
187,74
187,75
187,60
188,88
188,7
188,100
189,3
189,64
189,19
190,11
190,26
190,28
190,87
191,60
191,87
191,93
191,28
191,66
192,73
192,92
193,6
193,15
194,10
194,23
195,18
196,85
196,83
196,5
196,63
196,69
197,13
197,86
198,15
198,25
198,33
198,83
198,10
199,40
199,28
199,4
200,84
200,27
201,71
201,89
201,35
202,54
202,30
202,45
203,29
203,67
203,76
203,75
203,39
204,5
204,32
204,62
205,37
205,4
206,27
207,60
207,70
208,68
208,61
208,85
208,59
208,37
209,1
210,59
210,39
210,100
210,4
210,10
211,40
211,84
211,50
212,14
212,93
212,78
212,45
213,68
213,17
213,4
213,49
214,14
214,58
214,38
214,92
215,49
215,88
215,45
215,76
216,3
216,72
216,18
216,97
217,16
217,18
217,23
217,77
217,10
218,80
218,63
219,35
219,4
219,45
219,58
220,90
220,86
220,15
220,54
221,8
221,14
221,83
221,81
222,13
222,43
222,46
223,47
223,3
224,15
224,98
224,24
224,80
224,53
225,47
225,50
225,45
225,75
225,13
226,82
226,46
226,18
227,30
227,38
227,72
227,44
227,99
228,40
228,54
229,23
230,97
231,79
231,12
231,1
232,19
232,96
232,49
233,51
233,41
233,94
233,55
233,3
234,25
234,90
234,81
234,23
234,50
235,85
235,78
235,84
235,7
235,14
236,39
237,61
237,77
237,52
237,30
237,41
238,72
238,54
238,97
238,42
238,39
239,91
239,55
240,29
241,67
241,63
241,27
242,3
242,83
242,38
242,46
242,9
243,62
243,82
243,14
243,37
244,53
244,30
244,52
245,15
246,5
247,41
247,32
247,98
248,67
248,50
248,76
249,87
249,8
249,44
250,68
251,48
252,88
252,18
252,84
253,37
253,30
253,88
254,31
255,6
256,62
