view_id,article_id,viewer_id,viewed_at
1,43899,31,2025-04-09 21:09:11
2,11138,29,2024-12-01 06:01:42
3,47279,49,2023-11-17 21:50:32
4,16181,38,2024-04-04 02:33:48
5,22800,29,2023-09-03 04:59:31
6,14180,18,2023-07-06 03:50:04
7,41574,2,2025-05-28 03:59:25
8,23992,54,2026-01-28 12:44:39
9,34633,34,2025-02-22 01:23:29
10,7535,45,2026-02-17 16:48:21
11,43325,20,2023-04-24 21:15:29
12,22521,60,2024-03-14 22:02:39
13,13577,29,2025-04-13 13:18:41
14,14206,8,2024-11-08 01:29:34
15,47182,11,2024-01-30 04:38:22
16,36605,25,2025-08-20 03:40:54
17,36933,39,2023-07-19 16:27:58
18,21193,31,2025-04-08 21:32:02
19,11649,46,2025-02-07 19:41:32
20,54,49,2025-10-21 10:54:50
21,42940,32,2023-07-23 18:49:33
22,11652,13,2024-12-24 15:19:37
23,17416,11,2026-02-27 06:43:53
24,49401,53,2025-08-26 22:32:56
25,17667,56,2024-10-13 12:23:34
26,34843,21,2024-01-29 21:55:49
27,30169,57,2025-04-04 04:37:10
28,42116,14,2024-07-08 21:52:25
29,45251,57,2023-12-14 10:43:47
30,44780,25,2025-06-26 22:26:48
31,40435,4,2023-12-24 00:16:24
32,33004,39,2025-01-03 03:50:19
33,34522,28,2023-11-11 09:14:14
34,26164,34,2025-08-02 07:21:50
35,12891,51,2025-01-11 16:33:27
36,1316,20,2025-05-23 06:53:07
37,28844,17,2025-09-05 18:20:18
38,3204,9,2023-04-20 18:25:31
39,43408,19,2024-10-10 23:42:01
40,37769,15,2024-02-05 15:59:59
41,37274,22,2025-04-18 13:18:16
42,48028,20,2023-07-29 01:48:54
43,32155,21,2024-06-26 05:42:16
44,11290,1,2024-11-21 09:00:41
45,33031,43,2023-05-29 12:05:13
46,10512,6,2023-04-03 11:06:01
47,33732,48,2024-05-19 08:12:23
48,45260,44,2023-05-20 10:15:37
49,41810,58,2024-02-01 14:58:47
50,30269,23,2025-02-28 01:16:01
51,40332,32,2024-08-03 00:26:52
52,44232,24,2024-02-17 22:48:52
53,36059,37,2025-08-11 21:19:36
54,34225,10,2023-06-30 12:41:25
55,10278,10,2026-02-09 07:07:56
56,28142,36,2025-02-11 20:05:43
57,26539,44,2025-06-23 06:46:32
58,15426,44,2025-03-15 09:17:28
59,30750,3,2023-11-15 02:33:45
60,10991,4,2023-06-16 04:21:21
61,26991,43,2025-09-10 03:20:09
62,806,38,2024-07-16 20:13:08
63,33002,27,2025-08-08 19:41:54
64,43941,7,2024-09-22 12:40:37
65,6283,12,2024-03-30 15:01:53
66,12930,24,2026-01-14 07:07:45
67,16892,13,2025-03-01 03:51:47
68,17460,57,2024-06-05 01:55:20
69,20187,17,2023-11-02 21:54:14
70,6823,36,2025-09-01 08:22:26
71,36008,39,2025-07-05 11:19:15
72,25630,57,2024-12-09 11:02:17
73,39366,26,2025-03-22 14:25:49
74,35431,5,2025-11-18 02:29:46
75,36803,47,2023-04-22 23:52:18
76,4855,23,2024-04-05 11:29:01
77,47345,10,2025-02-23 21:21:24
78,29779,13,2024-08-05 07:01:01
79,5856,35,2025-04-21 03:41:40
80,29419,29,2025-08-13 10:34:59
81,43065,25,2024-04-03 20:11:10
82,37100,31,2024-05-29 11:36:02
83,49451,39,2023-04-10 16:05:09
84,14566,46,2026-01-13 11:40:22
85,3576,54,2026-02-21 17:35:54
86,3358,57,2025-03-19 14:20:09
87,7939,54,2024-06-26 00:15:33
88,23158,37,2024-11-12 14:14:49
89,5663,21,2023-04-18 09:51:46
90,43846,32,2025-03-01 05:03:02
91,14101,40,2024-04-06 20:25:09
92,22978,18,2025-08-26 21:07:34
93,11141,58,2025-12-28 02:01:36
94,9052,17,2024-12-18 12:38:53
95,28094,40,2025-03-21 11:48:14
96,6629,53,2023-10-03 03:25:15
97,8794,27,2023-03-14 05:43:57
98,6865,20,2024-02-03 10:51:09
99,13525,25,2023-08-20 17:02:12
100,19743,43,2023-06-16 14:16:32
101,29832,53,2024-03-20 22:11:50
102,49619,59,2023-12-18 13:44:43
103,21944,20,2023-11-14 20:29:24
104,6815,45,2024-11-18 15:30:43
105,35609,39,2025-07-29 07:21:59
106,4054,42,2024-04-24 13:09:07
107,3440,25,2025-12-06 17:40:08
108,14429,33,2025-08-16 10:35:30
109,9963,48,2025-03-30 04:53:23
110,23676,31,2024-08-14 00:50:31
111,48815,49,2026-01-16 14:17:02
112,2322,10,2025-11-26 18:55:32
113,23892,49,2025-12-28 17:15:15
114,48611,29,2024-03-10 05:15:46
115,30648,14,2024-04-22 22:14:46
116,20773,7,2023-04-15 03:53:13
117,49497,40,2023-10-19 01:22:38
118,5849,35,2023-08-10 16:41:34
119,42801,28,2025-03-26 07:25:41
120,32365,17,2024-05-08 16:25:30
121,886,46,2025-03-27 03:34:56
122,15559,4,2025-12-18 19:23:15
123,29897,55,2025-06-28 12:01:06
124,40299,2,2025-01-28 16:10:14
125,8736,24,2025-06-15 18:44:41
126,49197,20,2023-08-24 10:58:07
127,32215,20,2024-08-21 16:42:28
128,16733,38,2023-03-03 03:55:41
129,3535,37,2025-02-03 10:22:13
130,23525,1,2024-07-15 13:58:12
131,47817,1,2025-10-03 09:05:18
132,15648,41,2023-09-19 19:35:18
133,11563,59,2025-11-05 16:17:00
134,13477,29,2025-10-24 13:53:47
135,904,19,2024-02-12 14:09:58
136,1293,3,2023-05-21 13:23:01
137,42990,18,2025-08-23 08:10:28
138,47736,24,2025-04-02 01:03:06
139,47140,8,2023-12-03 14:23:47
140,20621,58,2025-04-07 07:00:52
141,15255,29,2025-03-01 22:55:14
142,37175,60,2025-09-06 08:56:46
143,4911,12,2025-08-04 08:09:58
144,38392,10,2023-06-13 12:44:44
145,47839,8,2025-11-22 07:54:39
146,2169,25,2025-04-24 00:35:49
147,6076,43,2024-02-10 04:16:09
148,15299,42,2024-09-22 15:54:00
149,44700,31,2023-09-01 09:48:37
150,40611,2,2024-11-16 21:12:52
151,34586,39,2023-03-23 18:56:09
152,18199,20,2024-11-04 16:09:08
153,13892,3,2023-09-17 15:32:48
154,33426,45,2023-03-18 08:46:34
