article_id,author_id,category_id,status,title,slug,published_at,views_count,created_at,updated_at,current_rev
1,57,6,published,Update Deep Guide Analysis #1,article-1,2023-04-19 00:00:00,217,2023-04-09 00:00:00,2023-05-16 00:00:00,1
2,15,2,published,Trends Insights Learning Analysis #2,article-2,2024-01-10 00:00:00,186,2023-10-17 00:00:00,2024-01-18 00:00:00,2
3,45,2,published,Learning How-To Learning Trends #3,article-3,2023-07-17 00:00:00,197,2023-04-27 00:00:00,2023-08-08 00:00:00,5
4,36,4,published,Insights How-To Guide Deep #4,article-4,2023-06-05 00:00:00,179,2023-04-26 00:00:00,2023-06-17 00:00:00,6
5,18,2,published,Study Insights Analysis Update #5,article-5,2023-03-19 00:00:00,195,2023-01-28 00:00:00,2023-04-16 00:00:00,8
6,59,8,draft,Learning How-To Review How-To #6,article-6,,207,2023-01-24 00:00:00,2023-04-16 00:00:00,9
7,38,7,published,Study Learning Review How-To #7,article-7,2023-03-08 00:00:00,179,2023-02-22 00:00:00,2023-03-12 00:00:00,10
8,41,3,published,Trends Deep Trends Study #8,article-8,2023-09-27 00:00:00,193,2023-07-22 00:00:00,2023-10-05 00:00:00,11
9,36,1,published,Learning Insights How-To How-To #9,article-9,2023-06-05 00:00:00,204,2023-04-23 00:00:00,2023-06-08 00:00:00,12
10,19,7,draft,Deep Update Update Study #10,article-10,,194,2023-06-16 00:00:00,2023-07-24 00:00:00,13
11,59,2,published,Analysis Update Survey Learning #11,article-11,2023-03-04 00:00:00,202,2023-02-12 00:00:00,2023-03-21 00:00:00,14
12,50,9,archived,Survey Review Learning Analysis #12,article-12,,184,2024-01-22 00:00:00,2024-03-08 00:00:00,16
13,4,4,published,Study Deep Review Deep #13,article-13,2023-09-04 00:00:00,192,2023-06-28 00:00:00,2023-09-28 00:00:00,17
14,9,3,published,Study Learning Review Survey #14,article-14,2023-03-26 00:00:00,180,2023-02-27 00:00:00,2023-04-24 00:00:00,18
15,35,4,published,Trends Update Trends Insights #15,article-15,2023-03-22 00:00:00,206,2023-01-24 00:00:00,2023-03-25 00:00:00,20
16,16,4,draft,Deep Survey Survey Deep #16,article-16,,219,2022-12-23 00:00:00,2023-04-12 00:00:00,21
17,4,4,draft,Deep Analysis Review Analysis #17,article-17,,218,2023-02-05 00:00:00,2023-04-14 00:00:00,22
18,35,3,published,Insights Survey Guide Review #18,article-18,2023-05-18 00:00:00,193,2023-03-27 00:00:00,2023-05-24 00:00:00,26
19,7,2,published,Analysis Trends Insights Deep #19,article-19,2023-04-30 00:00:00,208,2023-02-06 00:00:00,2023-05-20 00:00:00,27
20,7,1,published,Analysis Insights Guide Guide #20,article-20,2023-04-06 00:00:00,200,2023-02-08 00:00:00,2023-04-10 00:00:00,28
21,28,3,published,Guide Study Trends Insights #21,article-21,2023-06-08 00:00:00,191,2023-03-30 00:00:00,2023-06-11 00:00:00,30
22,4,9,published,Study Study Insights Learning #22,article-22,2023-03-17 00:00:00,209,2023-01-14 00:00:00,2023-04-01 00:00:00,32
23,14,7,archived,Learning Deep Trends Study #23,article-23,,195,2023-02-08 00:00:00,2023-04-16 00:00:00,33
24,28,9,published,Review Guide Guide Deep #24,article-24,2023-04-18 00:00:00,189,2023-02-08 00:00:00,2023-04-19 00:00:00,34
25,48,6,draft,Survey Review Insights Learning #25,article-25,,204,2023-02-28 00:00:00,2023-05-06 00:00:00,36
26,55,3,draft,Deep Insights Trends Study #26,article-26,,199,2023-05-29 00:00:00,2023-08-16 00:00:00,37
27,38,10,draft,Deep Update Survey Analysis #27,article-27,,197,2023-02-20 00:00:00,2023-03-31 00:00:00,38
28,43,6,published,Trends Update Analysis Analysis #28,article-28,2023-05-16 00:00:00,193,2023-05-07 00:00:00,2023-05-16 00:00:00,39
29,30,10,archived,Study Deep Guide Guide #29,article-29,,211,2023-04-20 00:00:00,2023-07-01 00:00:00,41
30,5,4,published,Learning Insights Update Survey #30,article-30,2023-03-06 00:00:00,220,2022-12-13 00:00:00,2023-03-22 00:00:00,42
31,1,9,published,Update Study Learning Learning #31,article-31,2023-06-07 00:00:00,196,2023-05-25 00:00:00,2023-06-30 00:00:00,45
32,36,3,published,Survey Update Guide Survey #32,article-32,2023-03-21 00:00:00,218,2023-02-16 00:00:00,2023-04-06 00:00:00,46
33,32,5,archived,Insights Learning Trends Analysis #33,article-33,,231,2023-03-09 00:00:00,2023-03-19 00:00:00,47
34,50,3,published,Guide How-To Survey Trends #34,article-34,2024-01-06 00:00:00,185,2024-01-05 00:00:00,2024-01-09 00:00:00,48
35,5,3,published,Insights Survey Learning Learning #35,article-35,2024-02-16 00:00:00,176,2024-01-08 00:00:00,2024-02-27 00:00:00,49
36,58,1,published,Guide Guide Learning How-To #36,article-36,2023-08-21 00:00:00,213,2023-06-30 00:00:00,2023-09-09 00:00:00,50
37,48,3,archived,Guide Learning How-To Learning #37,article-37,,221,2023-02-15 00:00:00,2023-04-08 00:00:00,51
38,12,6,published,Trends Update How-To Guide #38,article-38,2023-03-12 00:00:00,229,2023-02-20 00:00:00,2023-04-06 00:00:00,53
39,45,2,published,Deep Review Guide Study #39,article-39,2023-06-30 00:00:00,218,2023-05-17 00:00:00,2023-07-09 00:00:00,54
40,53,4,published,Update Trends Analysis Deep #40,article-40,2023-05-01 00:00:00,220,2023-03-27 00:00:00,2023-05-12 00:00:00,56
41,42,9,published,Study Review Study Learning #41,article-41,2023-03-15 00:00:00,216,2023-02-10 00:00:00,2023-03-20 00:00:00,57
42,38,5,draft,Survey Analysis How-To Trends #42,article-42,,184,2023-03-08 00:00:00,2023-05-15 00:00:00,58
43,25,10,draft,Deep Trends Review How-To #43,article-43,,183,2022-12-08 00:00:00,2023-03-28 00:00:00,59
44,48,4,published,Deep Update Analysis Analysis #44,article-44,2023-11-07 00:00:00,196,2023-10-23 00:00:00,2023-11-30 00:00:00,60
45,58,5,published,Update Analysis Update Survey #45,article-45,2023-04-02 00:00:00,227,2023-03-09 00:00:00,2023-04-15 00:00:00,61
46,43,7,published,Insights Survey Analysis Survey #46,article-46,2023-06-23 00:00:00,199,2023-06-23 00:00:00,2023-07-02 00:00:00,62
47,19,4,published,Survey Update Review Trends #47,article-47,2023-04-09 00:00:00,192,2023-03-13 00:00:00,2023-04-25 00:00:00,63
48,31,3,published,Analysis Update Survey Learning #48,article-48,2023-05-17 00:00:00,179,2023-04-17 00:00:00,2023-06-07 00:00:00,65
49,20,4,published,Learning Deep Study Survey #49,article-49,2023-05-23 00:00:00,200,2023-05-14 00:00:00,2023-06-06 00:00:00,67
50,27,10,draft,Update Review Guide Update #50,article-50,,196,2023-03-23 00:00:00,2023-04-20 00:00:00,68
51,49,2,published,Guide How-To Update Review #51,article-51,2024-02-29 00:00:00,202,2023-12-20 00:00:00,2024-03-07 00:00:00,69
52,59,2,published,How-To Update Study Survey #52,article-52,2023-08-04 00:00:00,184,2023-06-09 00:00:00,2023-08-23 00:00:00,71
53,53,9,published,Insights Trends Learning Insights #53,article-53,2023-12-19 00:00:00,207,2023-10-23 00:00:00,2023-12-27 00:00:00,73
54,49,4,published,Analysis How-To Review Guide #54,article-54,2023-10-23 00:00:00,207,2023-08-28 00:00:00,2023-10-25 00:00:00,75
55,46,5,published,Analysis Insights Deep Learning #55,article-55,2023-06-05 00:00:00,194,2023-04-17 00:00:00,2023-06-27 00:00:00,76
56,10,4,draft,Trends Review Trends Guide #56,article-56,,194,2023-10-01 00:00:00,2023-12-05 00:00:00,77
57,58,10,archived,Deep Insights Survey Review #57,article-57,,230,2023-01-25 00:00:00,2023-03-20 00:00:00,78
58,49,7,published,Study Trends How-To Survey #58,article-58,2023-03-24 00:00:00,203,2023-01-06 00:00:00,2023-04-21 00:00:00,79
59,15,8,published,Trends Deep Analysis Update #59,article-59,2023-03-06 00:00:00,209,2023-01-14 00:00:00,2023-03-29 00:00:00,80
60,11,8,archived,Study Review Insights Survey #60,article-60,,168,2023-01-18 00:00:00,2023-04-12 00:00:00,81
61,6,7,draft,Review Deep Trends Guide #61,article-61,,186,2023-03-12 00:00:00,2023-05-02 00:00:00,82
62,49,7,published,Study Trends Insights Review #62,article-62,2023-04-04 00:00:00,207,2023-01-25 00:00:00,2023-04-05 00:00:00,84
63,23,4,published,How-To Update How-To Study #63,article-63,2023-09-02 00:00:00,211,2023-08-08 00:00:00,2023-09-28 00:00:00,85
64,2,10,draft,Learning Update Survey Guide #64,article-64,,196,2023-01-18 00:00:00,2023-04-25 00:00:00,86
65,50,6,draft,Survey How-To Learning Insights #65,article-65,,204,2023-02-25 00:00:00,2023-04-08 00:00:00,87
66,38,1,archived,Survey Insights Trends Study #66,article-66,,188,2023-04-27 00:00:00,2023-05-24 00:00:00,88
67,38,4,draft,How-To Insights Survey Learning #67,article-67,,195,2023-01-04 00:00:00,2023-04-11 00:00:00,90
68,3,6,published,Update Deep Update Deep #68,article-68,2023-08-18 00:00:00,200,2023-06-26 00:00:00,2023-09-13 00:00:00,92
69,32,2,published,Analysis Insights Review Learning #69,article-69,2023-03-10 00:00:00,192,2023-02-16 00:00:00,2023-04-02 00:00:00,93
70,34,5,published,Study How-To Review Insights #70,article-70,2024-05-27 00:00:00,207,2024-03-13 00:00:00,2024-06-04 00:00:00,94
71,21,4,published,Deep Insights Guide Review #71,article-71,2023-08-03 00:00:00,203,2023-05-17 00:00:00,2023-08-24 00:00:00,95
72,25,6,draft,Insights Guide Guide How-To #72,article-72,,206,2023-02-10 00:00:00,2023-04-02 00:00:00,96
73,57,10,published,Analysis Deep Study Deep #73,article-73,2023-03-02 00:00:00,197,2023-01-09 00:00:00,2023-03-17 00:00:00,98
74,36,4,published,Update Review How-To Learning #74,article-74,2023-08-25 00:00:00,197,2023-07-28 00:00:00,2023-09-06 00:00:00,100
75,45,4,published,Survey Review Review Trends #75,article-75,2023-07-08 00:00:00,180,2023-04-29 00:00:00,2023-07-18 00:00:00,101
76,23,8,published,Guide Learning Guide Learning #76,article-76,2023-07-16 00:00:00,203,2023-05-09 00:00:00,2023-08-15 00:00:00,103
77,49,3,draft,How-To Analysis Survey How-To #77,article-77,,206,2023-05-19 00:00:00,2023-08-12 00:00:00,104
78,7,4,published,Analysis Analysis Update Learning #78,article-78,2023-03-10 00:00:00,220,2023-03-05 00:00:00,2023-03-11 00:00:00,106
79,36,5,published,Learning Insights Review Insights #79,article-79,2023-04-17 00:00:00,205,2023-02-03 00:00:00,2023-04-26 00:00:00,107
80,31,8,published,Guide Deep Study Review #80,article-80,2023-03-14 00:00:00,220,2023-03-06 00:00:00,2023-03-26 00:00:00,108
81,32,2,published,Update Learning How-To Study #81,article-81,2023-09-25 00:00:00,173,2023-09-15 00:00:00,2023-10-02 00:00:00,109
82,8,9,published,Survey How-To Guide Review #82,article-82,2023-06-11 00:00:00,212,2023-04-15 00:00:00,2023-07-10 00:00:00,111
83,29,5,published,Study Analysis Survey Survey #83,article-83,2023-04-12 00:00:00,194,2023-03-31 00:00:00,2023-05-12 00:00:00,112
84,49,4,published,Guide Deep Guide Survey #84,article-84,2023-03-08 00:00:00,191,2023-02-16 00:00:00,2023-03-08 00:00:00,114
85,27,8,published,Review Deep Analysis Analysis #85,article-85,2023-04-09 00:00:00,213,2023-02-10 00:00:00,2023-04-11 00:00:00,115
86,44,4,archived,How-To Survey Update Study #86,article-86,,208,2023-02-17 00:00:00,2023-04-15 00:00:00,118
87,35,4,published,Insights Insights Deep Learning #87,article-87,2023-07-16 00:00:00,177,2023-06-07 00:00:00,2023-08-04 00:00:00,119
88,48,10,archived,Trends Review Analysis Trends #88,article-88,,193,2023-05-12 00:00:00,2023-07-01 00:00:00,120
89,35,8,published,Survey Insights How-To Survey #89,article-89,2023-10-15 00:00:00,209,2023-10-12 00:00:00,2023-10-17 00:00:00,121
90,15,10,published,Deep How-To Insights Survey #90,article-90,2023-05-07 00:00:00,207,2023-04-15 00:00:00,2023-05-22 00:00:00,122
91,34,8,archived,Learning Survey Survey Review #91,article-91,,221,2023-03-04 00:00:00,2023-03-30 00:00:00,124
92,23,7,published,Update Insights Analysis Update #92,article-92,2023-07-10 00:00:00,187,2023-06-04 00:00:00,2023-07-31 00:00:00,126
93,26,9,draft,Deep Guide Learning How-To #93,article-93,,215,2023-05-25 00:00:00,2023-08-24 00:00:00,127
94,1,9,published,Deep Review Survey Review #94,article-94,2023-05-27 00:00:00,179,2023-04-01 00:00:00,2023-06-20 00:00:00,128
95,4,4,published,Learning Analysis Insights Review #95,article-95,2023-08-02 00:00:00,185,2023-07-30 00:00:00,2023-08-22 00:00:00,129
96,39,4,published,Analysis Deep Trends Guide #96,article-96,2023-05-12 00:00:00,237,2023-04-28 00:00:00,2023-05-26 00:00:00,131
97,8,3,published,Update Review Analysis Insights #97,article-97,2023-05-18 00:00:00,216,2023-03-19 00:00:00,2023-05-25 00:00:00,132
98,30,9,draft,Guide Survey How-To Learning #98,article-98,,213,2023-04-21 00:00:00,2023-05-07 00:00:00,133
99,50,7,published,How-To Guide Deep Update #99,article-99,2023-03-04 00:00:00,174,2022-12-19 00:00:00,2023-03-22 00:00:00,134
100,43,8,published,Trends Review Analysis How-To #100,article-100,2023-03-13 00:00:00,197,2023-01-24 00:00:00,2023-03-27 00:00:00,135
