-- pg_stat_before --
relname,n_live_tup,n_dead_tup
admin_actions,139,0
article_tags,150476,0
article_view,203078,0
articles,50005,0
articles_tag_index,50000,0
categories,10,0
comments,15005,9
experiment_results,151,0
revisions,65120,0
tags,100,0
users,60,26

-- pg_stat_after --
relname,n_live_tup,n_dead_tup
admin_actions,139,0
article_tags,150476,0
article_view,203078,0
articles,50005,0
articles_tag_index,50000,0
categories,10,0
comments,15005,9
experiment_results,151,0
revisions,65120,0
tags,100,0
users,60,26

-- result --
UPDATE 1024
