comment_id,article_id,user_id,content,created_at,is_flagged
1,35432,19,Comment 1 on article 35432. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2024-03-16 00:00:00,False
2,24114,29,Comment 2 on article 24114. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2025-12-31 00:00:00,False
3,39461,48,Comment 3 on article 39461. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2023-04-25 00:00:00,False
4,17128,56,Comment 4 on article 17128. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2024-12-20 00:00:00,False
5,31845,12,Comment 5 on article 31845. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2024-01-18 00:00:00,False
6,8250,26,Comment 6 on article 8250. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2025-08-13 00:00:00,False
7,26645,9,Comment 7 on article 26645. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2023-06-20 00:00:00,False
8,13646,26,Comment 8 on article 13646. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2025-07-14 00:00:00,False
9,25315,29,Comment 9 on article 25315. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2024-02-12 00:00:00,False
10,31798,42,Comment 10 on article 31798. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2025-11-26 00:00:00,False
11,3421,17,Comment 11 on article 3421. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2024-10-02 00:00:00,False
12,29483,8,Comment 12 on article 29483. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2025-10-22 00:00:00,False
13,49595,53,Comment 13 on article 49595. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2025-10-10 00:00:00,False
14,21232,18,Comment 14 on article 21232. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2025-04-02 00:00:00,False
15,41710,23,Comment 15 on article 41710. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2023-05-24 00:00:00,False
16,43152,27,Comment 16 on article 43152. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2024-10-11 00:00:00,False
17,2792,11,Comment 17 on article 2792. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2023-03-27 00:00:00,False
18,6165,41,Comment 18 on article 6165. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2025-12-03 00:00:00,False
19,34404,16,Comment 19 on article 34404. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2024-03-07 00:00:00,False
20,30584,50,Comment 20 on article 30584. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2025-08-16 00:00:00,False
21,11374,46,Comment 21 on article 11374. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2024-03-23 00:00:00,False
22,13119,58,Comment 22 on article 13119. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2023-10-19 00:00:00,False
23,10928,34,Comment 23 on article 10928. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2023-03-04 00:00:00,False
24,19634,49,Comment 24 on article 19634. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2024-10-27 00:00:00,False
25,13184,34,Comment 25 on article 13184. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2024-12-16 00:00:00,False
26,48420,46,Comment 26 on article 48420. blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,2024-05-10 00:00:00,False
